CODE,SOT,year,Site,Zone,Tree #,Aspect,Height,CODE,Stem length,Tray mass (g),SOT+0 (m/g),SOT+1 (m/g),SOT+2 (m/g),SOT+3 (m/g),SOT+4 (m/g),SOT+5 (m/g),Dry weight,Fresh wgt,Dry wgt,H2O content,Total needles,MEAN (cm),SA/leaf (cm2),SA total (cm2),SA total (m2),1,2,3,4,5,gmin
BLK E1 WC,2013-09-26,2013,BLK,E,1,W,C,BLK E1 WC,13.2,2.498,2.6673,2.66,2.6493,2.648,2.644,2.643,2.58,0.082,0.1693,106.4634146,35,0.58,1.9488348,68.209218,0.006820922,5.88543E-07,8.62659E-07,1.04809E-07,3.22489E-07,8.06223E-08,1.0876E-06
BLK E2 LA,2013-09-26,2013,BLK,E,2,L,A,BLK E2 LA,18.9,2.5044,2.8348,2.83,2.8027,2.797,2.79,2.785,2.6631,0.1587,0.3304,108.1915564,38,0.86,2.8896516,109.8067608,0.010980676,2.40387E-07,1.3672E-06,2.85459E-07,3.50564E-07,2.50403E-07,1.71326E-06
BLK E2 LC,2013-09-26,2013,BLK,E,2,L,C,BLK E2 LC,8.6,2.516,2.6625,2.66,2.6539,2.65,2.647,2.645,2.588,0.072,0.1465,103.4722222,25,0.6,2.016036,50.4009,0.00504009,2.72772E-07,6.65564E-07,4.25525E-07,3.27327E-07,2.18218E-07,9.13241E-07
BLK E2 LS,2013-09-26,2013,BLK,E,2,L,S,BLK E2 LS,15.8,2.4969,2.7565,2.69,2.6839,2.68,2.674,2.671,2.5974,0.1005,0.2596,158.3084577,42,0.58,1.9488348,81.8510616,0.008185106,4.46782E-06,4.0983E-07,2.62023E-07,4.03112E-07,2.01556E-07,4.88437E-07
BLK E2 WA,2013-09-26,2013,BLK,E,2,W,A,BLK E2 WA,9.5,2.5206,2.6913,2.67,2.6619,2.658,2.653,2.65,2.5922,0.0716,0.1707,138.4078212,31,0.665,2.2344399,69.2676369,0.006926764,1.69102E-06,6.43062E-07,3.09623E-07,3.96952E-07,2.38171E-07,7.91522E-07
BLK E2 WC,2013-09-26,2013,BLK,E,2,W,C,BLK E2 WC,16.8,2.5168,2.8922,2.87,2.8646,2.859,2.851,2.843,2.6931,0.1763,0.3754,112.9325014,50,0.645,2.1672387,108.361935,0.010836194,1.12661E-06,2.74041E-07,2.84191E-07,4.05986E-07,4.05986E-07,1.6138E-07
BLK E3 LA,2013-09-26,2013,BLK,E,3,L,A,BLK E3 LA,10.6,2.5016,2.5965,2.59,2.5847,2.584,2.58,2.578,2.5516,0.05,0.0949,89.8,17,0.705882353,2.371807059,40.32072,0.004032072,8.8651E-07,7.22846E-07,9.54703E-08,5.45544E-07,2.72772E-07,7.2421E-07
BLK E3 LC,2013-09-26,2013,BLK,E,3,L,C,BLK E3 LC,9.9,2.4999,2.5898,2.58,2.5779,2.577,2.574,2.571,2.5455,0.0456,0.0899,97.14912281,18,0.611111111,2.05337,36.96066,0.003696066,1.45809E-06,3.12448E-07,1.33906E-07,4.46354E-07,4.46354E-07,8.48073E-08
BLK E3 WA,2013-09-26,2013,BLK,E,3,W,A,BLK E3 WA,13.8,2.0316,2.1079,2.1,2.0996,2.0993,2.099,2.095,2.0823,0.0507,0.0763,50.49309665,22,0.595,1.9992357,43.9831854,0.004398319,9.87731E-07,5.00117E-08,3.75088E-08,3.75088E-08,5.00117E-07,3.16324E-07
BLK E3 WC,2013-09-26,2013,BLK,E,3,W,C,BLK E3 WC,11.1,2.0225,2.1461,2.14,2.1329,2.131,2.129,2.126,2.0864,0.0639,0.1236,93.42723005,34,0.59,1.9824354,67.4028036,0.00674028,4.9768E-07,5.79267E-07,1.55015E-07,1.63174E-07,2.44761E-07,6.3393E-07
BLK E3 WS,2013-09-26,2013,BLK,E,3,W,S,BLK E3 WS,21.3,2.0325,2.3245,2.3,2.2893,2.283,2.276,2.268,2.1923,0.1598,0.292,82.72841051,64,0.68,2.2848408,146.2298112,0.014622981,9.21358E-07,4.02389E-07,2.36921E-07,2.63245E-07,3.00852E-07,3.98252E-07
BLK E4 LA,2013-09-26,2013,BLK,E,4,L,A,BLK E4 LA,11,2.49,2.7415,2.72,2.7162,2.714,2.71,2.707,2.6073,0.1173,0.2515,114.4075021,26,0.96,3.2256576,83.8670976,0.00838671,1.40976E-06,2.49167E-07,1.44255E-07,2.62281E-07,1.96711E-07,2.26873E-07
BLK E4 LC,2013-09-26,2013,BLK,E,4,L,C,BLK E4 LC,9.5,2.5221,2.6105,2.606,2.6036,2.603,2.601,2.599,2.5639,0.0418,0.0884,111.4832536,13,0.653846154,2.196962308,28.56051,0.002856051,8.66453E-07,4.62108E-07,1.15527E-07,3.8509E-07,3.8509E-07,3.23476E-07
BLK E4 WA,2013-09-26,2013,BLK,E,4,W,A,BLK E4 WA,19.2,2.0648,2.4415,2.42,2.4088,2.404,2.398,2.393,2.2388,0.174,0.3767,116.4942529,47,0.835,2.8056501,131.8655547,0.013186555,8.96614E-07,4.67073E-07,2.00174E-07,2.50218E-07,2.08515E-07,5.35466E-07
BLK E4 WC,2013-09-26,2013,BLK,E,4,W,C,BLK E4 WC,17.3,2.0132,2.3361,2.32,2.3131,2.309,2.304,2.298,2.1689,0.1557,0.3229,107.3859987,44,0.76,2.5536456,112.3604064,0.011236041,7.87972E-07,3.37702E-07,2.00664E-07,2.44712E-07,2.93654E-07,3.00017E-07
