site,year,date,time,sample,weight,depth,density,swe,htc
Owl: Coastal Fen,2007,20070225,1600,3,440,48,256.6175974,123.1764467,0.403347122
Owl: Coastal Fen,2007,20070225,1600,4,455,53,240.3314034,127.3756438,0.320399999
Owl: Coastal Fen,2007,20070225,1600,5,485,58,234.0931688,135.7740379,0.277777342
Owl: Coastal Fen,2007,20070225,1600,6,415,48,242.0370521,116.177785,0.358814349
Owl: Coastal Fen,2007,20070225,1600,7,355,43,231.1185972,99.3809968,0.365215046
Owl: Coastal Fen,2007,20070225,1600,8,505,39,362.4947879,141.3729673,0.990572476
Owl: Coastal Fen,2007,20070225,1600,9,380,34,312.8813487,106.3796585,0.846501561
Owl: Coastal Fen,2007,20070225,1600,10,160,21,213.2925485,44.79143518,0.636911957
Owl: Coastal Fen,2007,20070225,1600,11,155,17,255.2453108,43.39170283,1.126714682
Owl: Coastal Fen,2007,20070225,1600,12,135,15,251.9518229,37.79277343,1.244202533
Owl: Coastal Fen,2007,20070225,1600,13,220,25,246.3528935,61.58822337,0.713711438
Owl: Coastal Fen,2007,20070225,1600,14,160,25,179.1657407,44.79143518,0.377500265
Owl: Coastal Fen,2007,20070225,1600,15,130,25,145.5721643,36.39304108,0.249209159
Owl: Coastal Fen,2007,20070225,1600,16,295,38,217.3268648,82.58420861,0.365418528
Owl: Coastal Fen,2007,20070225,1600,17,350,38,257.8454328,97.98126445,0.514378278
Owl: Coastal Fen,2007,20070225,1600,18,445,45,276.8359535,124.5761791,0.500702548
Owl: Coastal Fen,2007,20070225,1600,19,355,37,268.5972887,99.3809968,0.573256325
Owl: Coastal Fen,2007,20070225,1600,20,485,42,323.2715188,135.7740379,0.731531324
Owl: Coastal Fen,2007,20070225,1600,21,435,19,640.9300757,121.7767144,6.356455812
Owl: Coastal Fen,2007,20070225,1600,22,355,53,187.5113147,99.3809968,0.195041226
Owl: Coastal Fen,2007,20070225,1600,23,600,64,262.4498155,167.9678819,0.316417067
Owl: Coastal Fen,2007,20070225,1600,24,575,63,255.5066987,160.9692202,0.304657141
Owl: Coastal Fen,2007,20070225,1600,25,575,59,272.8291867,160.9692202,0.370917203
Owl: Coastal Fen,2007,20070225,1600,26,475,46,289.0751591,132.9745732,0.534085817
Owl: Coastal Fen,2007,20070225,1600,27,585,54,303.2753424,163.7686849,0.500757859
Owl: Coastal Fen,2007,20070225,1600,28,525,60,244.9531611,146.9718967,0.294010051
Owl: Coastal Fen,2007,20070225,1600,29,530,56,264.9493376,148.371629,0.368540295
Owl: Coastal Fen,2007,20070225,1600,30,480,58,231.6798371,134.3743055,0.272079497
Owl: Coastal Fen,2007,20070225,1600,31,450,48,262.4498155,125.9759114,0.421889422
Owl: Coastal Fen,2007,20070225,1600,32,640,62,288.9770012,179.1657407,0.39598816
Owl: Coastal Fen,2007,20070225,1600,33,395,55,201.0524647,110.5788556,0.216074464
Owl: Spruce Forest,2007,20070224,1020,1,395,61,181.2768125,110.5788556,0.158380609
Owl: Spruce Forest,2007,20070224,1020,2,425,62,191.8987898,118.9772497,0.174622464
Owl: Spruce Forest,2007,20070224,1020,3,190,52,102.2881332,53.18982927,0.059155413
Owl: Spruce Forest,2007,20070224,1020,4,330,58,159.279888,92.38233506,0.128600075
Owl: Spruce Forest,2007,20070224,1020,5,525,74,198.6106712,146.9718967,0.156718681
