location,site,type,year,sample.no,depth,density,swe,htc
Mary Lake: Forest,MLK,forest,2009,1,71,228.6887,162.369,0.2166
Mary Lake: Forest,MLK,forest,2009,2,70,143.9725,100.7807,0.0871
Mary Lake: Forest,MLK,forest,2009,3,64,205.5857,131.5748,0.1942
Mary Lake: Forest,MLK,forest,2009,4,70,199.9618,139.9732,0.1679
Mary Lake: Forest,MLK,forest,2009,5,86,250.6497,215.5588,0.2148
Mary Lake: Forest,MLK,forest,2009,6,86,201.8219,173.5668,0.1392
Mary Lake: Forest,MLK,forest,2009,7,96,256.6176,246.3529,0.2017
Mary Lake: Forest,MLK,forest,2009,8,78,244.0559,190.3636,0.2245
Mary Lake: Forest,MLK,forest,2009,9,78,244.0559,190.3636,0.2245
Mary Lake: Forest,MLK,forest,2009,10,69,222.3343,153.4107,0.2106
Mary Lake: Forest,MLK,forest,2009,11,68,255.2453,173.5668,0.2817
Mary Lake: Forest,MLK,forest,2009,12,67,259.0549,173.5668,0.2945
Mary Lake: Forest,MLK,forest,2009,13,60,205.2941,123.1764,0.2065
Mary Lake: Forest,MLK,forest,2009,14,70,239.9541,167.9679,0.2418
Mary Lake: Forest,MLK,forest,2009,15,58,222.0265,128.7754,0.2499
Mary Lake: Forest,MLK,forest,2009,16,70,183.9648,128.7754,0.1421
Mary Lake: Forest,MLK,forest,2009,17,66,229.0471,151.1711,0.2337
Mary Lake: Forest,MLK,forest,2009,18,96,250.7854,240.754,0.1926
Mary Lake: Forest,MLK,forest,2009,19,84,253.2849,212.7593,0.2245
Mary Lake: Forest,MLK,forest,2009,20,86,253.9049,218.3582,0.2204
Mary Lake: Forest,MLK,forest,2009,21,97,236.6558,229.5561,0.1698
Mary Lake: Forest,MLK,forest,2009,22,92,282.9894,260.3502,0.2559
Mary Lake: Forest,MLK,forest,2009,23,97,268.4023,260.3502,0.2183
Mary Lake: Forest,MLK,forest,2009,24,106,282.5875,299.5427,0.2215
Mary Lake: Forest,MLK,forest,2009,25,102,279.9465,285.5454,0.2259
Mary Lake: Forest,MLK,forest,2009,26,84,286.6119,240.754,0.2875
Mary Lake: Forest,MLK,forest,2009,27,83,239.4723,198.762,0.2031
Mary Lake: Forest,MLK,forest,2009,28,86,257.1601,221.1577,0.2261
Mary Lake: Forest,MLK,forest,2009,29,84,256.6176,215.5588,0.2305
Mary Lake: Forest,MLK,forest,2009,30,77,254.4968,195.9625,0.2473
Mary Lake: Forest,MLK,forest,2009,31,60,219.2914,131.5748,0.2356
Mary Lake: Forest,MLK,forest,2009,32,85,247.0116,209.9599,0.211
Mary Lake: Forest,MLK,forest,2009,33,74,234.5497,173.5668,0.2186
Owl: Coastal Beach Ridge,OBR,beach,2009,NA,NA,NA,NA,NA
Owl: Coastal Fen,OCF,fen,2009,NA,NA,NA,NA,NA
Owl: Spruce Forest,OSF,forest,2009,NA,NA,NA,NA,NA
Roberge Lake: Peat Plateau - Ice Wedge,RIW,wedge,2009,6,11,178.1478,19.5963,0.8482
Roberge Lake: Peat Plateau - Ice Wedge,RIW,wedge,2009,7,8,297.4431,23.7954,3.2514
Roberge Lake: Peat Plateau - Ice Wedge,RIW,wedge,2009,8,8,384.9264,30.7941,5.4452
Roberge Lake: Peat Plateau - Ice Wedge,RIW,wedge,2009,9,21,206.6272,43.3917,0.5977
Roberge Lake: Peat Plateau - Ice Wedge,RIW,wedge,2009,10,14,239.9541,33.5936,1.2091
Roberge Lake: Peat Plateau - Polygon Center,RPP,polygon,2009,1,4,209.9599,8.3984,3.2401
Roberge Lake: Peat Plateau - Polygon Center,RPP,polygon,2009,2,5,223.9572,11.1979,2.9492
Roberge Lake: Peat Plateau - Polygon Center,RPP,polygon,2009,3,5,223.9572,11.1979,2.9492
Roberge Lake: Peat Plateau - Polygon Center,RPP,polygon,2009,4,4,209.9599,8.3984,3.2401
Roberge Lake: Peat Plateau - Polygon Center,RPP,polygon,2009,5,4,209.9599,8.3984,3.2401
Roberge Lake: Tree Island,RTI,island,2009,1,81,224.6484,181.9652,0.1832
Roberge Lake: Tree Island,RTI,island,2009,2,77,199.9618,153.9706,0.1527
Roberge Lake: Tree Island,RTI,island,2009,3,81,276.4903,223.9572,0.2775
Roberge Lake: Tree Island,RTI,island,2009,4,51,219.5659,111.9786,0.2779
Roberge Lake: Tree Island,RTI,island,2009,5,96,233.2887,223.9572,0.1667
Broad: Coastal Beach Ridge,BBR,beach,2010,1,16,286.9451,45.9112,1.513
Broad: Coastal Beach Ridge,BBR,beach,2010,2,16,222.2075,35.5532,0.9073
Broad: Coastal Beach Ridge,BBR,beach,2010,3,20,303.7419,60.7484,1.3562
Broad: Coastal Beach Ridge,BBR,beach,2010,4,16,302.6921,48.4307,1.6836
Broad: Coastal Beach Ridge,BBR,beach,2010,5,15,169.8342,25.4751,0.5653
Broad: Coastal Beach Ridge,BBR,beach,2010,6,18,377.9277,68.027,2.3329
Broad: Coastal Beach Ridge,BBR,beach,2010,7,17,233.8376,39.7524,0.9456
Broad: Coastal Beach Ridge,BBR,beach,2010,8,22,265.9491,58.5088,0.9452
Broad: Coastal Beach Ridge,BBR,beach,2010,9,22,432.6445,95.1818,2.5014
Broad: Coastal Beach Ridge,BBR,beach,2010,10,30,373.262,111.9786,1.3654
Broad: Coastal Beach Ridge,BBR,beach,2010,11,32,253.7015,81.1845,0.5913
Broad: Coastal Beach Ridge,BBR,beach,2010,12,32,262.4498,83.9839,0.6328
Broad: Coastal Beach Ridge,BBR,beach,2010,13,36,287.7228,103.5802,0.6761
Broad: Coastal Beach Ridge,BBR,beach,2010,14,32,306.1915,97.9813,0.8614
Broad: Coastal Beach Ridge,BBR,beach,2010,15,32,349.9331,111.9786,1.125
Broad: Coastal Beach Ridge,BBR,beach,2010,16,34,296.4139,100.7807,0.7597
Broad: Coastal Beach Ridge,BBR,beach,2010,17,33,288.4297,95.1818,0.7412
Broad: Coastal Beach Ridge,BBR,beach,2010,18,30,205.2941,61.5882,0.413
Broad: Coastal Beach Ridge,BBR,beach,2010,19,36,388.8145,139.9732,1.2346
Broad: Coastal Beach Ridge,BBR,beach,2010,20,36,365.4857,131.5748,1.0909
Broad: Coastal Beach Ridge,BBR,beach,2010,21,40,377.9277,151.1711,1.0498
Broad: Coastal Beach Ridge,BBR,beach,2010,22,30,205.2941,61.5882,0.413
Broad: Coastal Beach Ridge,BBR,beach,2010,23,27,362.8936,97.9813,1.434
Broad: Coastal Beach Ridge,BBR,beach,2010,24,26,166.8912,43.3917,0.3149
Broad: Coastal Beach Ridge,BBR,beach,2010,25,21,310.6073,65.2275,1.3507
Broad: Coastal Beach Ridge,BBR,beach,2010,26,13,241.1847,31.354,1.3155
Broad: Coastal Beach Ridge,BBR,beach,2010,27,8,223.9572,17.9166,1.8433
Broad: Coastal Beach Ridge,BBR,beach,2010,28,8,150.4712,12.0377,0.8321
Broad: Coastal Beach Ridge,BBR,beach,2010,29,14,293.9438,41.1521,1.8145
Broad: Coastal Beach Ridge,BBR,beach,2010,30,14,281.9461,39.4725,1.6694
Broad: Coastal Beach Ridge,BBR,beach,2010,31,15,317.2727,47.5909,1.973
Broad: Coastal Beach Ridge,BBR,beach,2010,32,13,292.8671,38.0727,1.9397
Broad: Coastal Beach Ridge,BBR,beach,2010,33,8,300.9425,24.0754,3.3283
Broad: Riparian Forest,BRF,forest,2010,1,92,164.3164,151.1711,0.0863
Broad: Riparian Forest,BRF,forest,2010,2,92,240.3888,221.1577,0.1847
Broad: Riparian Forest,BRF,forest,2010,3,92,249.5175,229.5561,0.199
Broad: Riparian Forest,BRF,forest,2010,4,91,190.7328,173.5668,0.1175
Broad: Riparian Forest,BRF,forest,2010,5,86,221.353,190.3636,0.1675
Broad: Riparian Forest,BRF,forest,2010,6,83,141.6597,117.5775,0.0711
Broad: Riparian Forest,BRF,forest,2010,7,80,160.9692,128.7754,0.0952
Broad: Riparian Forest,BRF,forest,2010,8,80,122.4766,97.9813,0.0551
Broad: Riparian Forest,BRF,forest,2010,9,92,213.0027,195.9625,0.145
Broad: Riparian Forest,BRF,forest,2010,10,68,131.7395,89.5829,0.075
Broad: Riparian Forest,BRF,forest,2010,11,78,200.9872,156.77,0.1523
Broad: Riparian Forest,BRF,forest,2010,12,50,179.1657,89.5829,0.1888
Broad: Riparian Forest,BRF,forest,2010,13,49,142.8298,69.9866,0.1224
Broad: Riparian Forest,BRF,forest,2010,14,54,176.2626,95.1818,0.1692
Broad: Riparian Forest,BRF,forest,2010,15,62,171.5801,106.3797,0.1396
Broad: Riparian Forest,BRF,forest,2010,16,59,142.3457,83.9839,0.101
Broad: Riparian Forest,BRF,forest,2010,17,65,167.9679,109.1791,0.1276
Broad: Riparian Forest,BRF,forest,2010,18,63,173.3002,109.1791,0.1402
Broad: Riparian Forest,BRF,forest,2010,19,64,183.7149,117.5775,0.155
Broad: Riparian Forest,BRF,forest,2010,20,60,144.639,86.7834,0.1025
Broad: Riparian Forest,BRF,forest,2010,21,61,146.8572,89.5829,0.1039
